DesignName,ParticipantID,TrialID,Block1,Trial,VV,OC
Preattentive Variables,1,1,1,1,Shadow,Medium
Preattentive Variables,1,2,1,2,Shadow,Low
Preattentive Variables,1,3,1,3,Shadow,High
Preattentive Variables,1,4,1,4,Shadow,Low
Preattentive Variables,1,5,1,5,Shadow,Medium
Preattentive Variables,1,6,1,6,Shadow,High
Preattentive Variables,1,7,1,7,Shadow,Medium
Preattentive Variables,1,8,1,8,Shadow,Low
Preattentive Variables,1,9,1,9,Shadow,High
Preattentive Variables,1,10,1,10,Shadow,Low
Preattentive Variables,1,11,1,11,Shadow,Medium
Preattentive Variables,1,12,1,12,Shadow,High
Preattentive Variables,1,13,1,13,Shadow,Medium
Preattentive Variables,1,14,1,14,Shadow,Low
Preattentive Variables,1,15,1,15,Shadow,High
Preattentive Variables,1,16,2,1,Motion,Medium
Preattentive Variables,1,17,2,2,Motion,Low
Preattentive Variables,1,18,2,3,Motion,High
Preattentive Variables,1,19,2,4,Motion,Low
Preattentive Variables,1,20,2,5,Motion,Medium
Preattentive Variables,1,21,2,6,Motion,High
Preattentive Variables,1,22,2,7,Motion,Medium
Preattentive Variables,1,23,2,8,Motion,Low
Preattentive Variables,1,24,2,9,Motion,High
Preattentive Variables,1,25,2,10,Motion,Low
Preattentive Variables,1,26,2,11,Motion,Medium
Preattentive Variables,1,27,2,12,Motion,High
Preattentive Variables,1,28,2,13,Motion,Medium
Preattentive Variables,1,29,2,14,Motion,Low
Preattentive Variables,1,30,2,15,Motion,High
Preattentive Variables,1,31,3,1,Both,Medium
Preattentive Variables,1,32,3,2,Both,Low
Preattentive Variables,1,33,3,3,Both,High
Preattentive Variables,1,34,3,4,Both,Low
Preattentive Variables,1,35,3,5,Both,Medium
Preattentive Variables,1,36,3,6,Both,High
Preattentive Variables,1,37,3,7,Both,Medium
Preattentive Variables,1,38,3,8,Both,Low
Preattentive Variables,1,39,3,9,Both,High
Preattentive Variables,1,40,3,10,Both,Low
Preattentive Variables,1,41,3,11,Both,Medium
Preattentive Variables,1,42,3,12,Both,High
Preattentive Variables,1,43,3,13,Both,Medium
Preattentive Variables,1,44,3,14,Both,Low
Preattentive Variables,1,45,3,15,Both,High
Preattentive Variables,2,46,1,1,Both,High
Preattentive Variables,2,47,1,2,Both,Medium
Preattentive Variables,2,48,1,3,Both,Low
Preattentive Variables,2,49,1,4,Both,Medium
Preattentive Variables,2,50,1,5,Both,High
Preattentive Variables,2,51,1,6,Both,Low
Preattentive Variables,2,52,1,7,Both,High
Preattentive Variables,2,53,1,8,Both,Medium
Preattentive Variables,2,54,1,9,Both,Low
Preattentive Variables,2,55,1,10,Both,Medium
Preattentive Variables,2,56,1,11,Both,High
Preattentive Variables,2,57,1,12,Both,Low
Preattentive Variables,2,58,1,13,Both,High
Preattentive Variables,2,59,1,14,Both,Medium
Preattentive Variables,2,60,1,15,Both,Low
Preattentive Variables,2,61,2,1,Shadow,High
Preattentive Variables,2,62,2,2,Shadow,Medium
Preattentive Variables,2,63,2,3,Shadow,Low
Preattentive Variables,2,64,2,4,Shadow,Medium
Preattentive Variables,2,65,2,5,Shadow,High
Preattentive Variables,2,66,2,6,Shadow,Low
Preattentive Variables,2,67,2,7,Shadow,High
Preattentive Variables,2,68,2,8,Shadow,Medium
Preattentive Variables,2,69,2,9,Shadow,Low
Preattentive Variables,2,70,2,10,Shadow,Medium
Preattentive Variables,2,71,2,11,Shadow,High
Preattentive Variables,2,72,2,12,Shadow,Low
Preattentive Variables,2,73,2,13,Shadow,High
Preattentive Variables,2,74,2,14,Shadow,Medium
Preattentive Variables,2,75,2,15,Shadow,Low
Preattentive Variables,2,76,3,1,Motion,High
Preattentive Variables,2,77,3,2,Motion,Medium
Preattentive Variables,2,78,3,3,Motion,Low
Preattentive Variables,2,79,3,4,Motion,Medium
Preattentive Variables,2,80,3,5,Motion,High
Preattentive Variables,2,81,3,6,Motion,Low
Preattentive Variables,2,82,3,7,Motion,High
Preattentive Variables,2,83,3,8,Motion,Medium
Preattentive Variables,2,84,3,9,Motion,Low
Preattentive Variables,2,85,3,10,Motion,Medium
Preattentive Variables,2,86,3,11,Motion,High
Preattentive Variables,2,87,3,12,Motion,Low
Preattentive Variables,2,88,3,13,Motion,High
Preattentive Variables,2,89,3,14,Motion,Medium
Preattentive Variables,2,90,3,15,Motion,Low
Preattentive Variables,3,91,1,1,Motion,Low
Preattentive Variables,3,92,1,2,Motion,High
Preattentive Variables,3,93,1,3,Motion,Medium
Preattentive Variables,3,94,1,4,Motion,High
Preattentive Variables,3,95,1,5,Motion,Low
Preattentive Variables,3,96,1,6,Motion,Medium
Preattentive Variables,3,97,1,7,Motion,Low
Preattentive Variables,3,98,1,8,Motion,High
Preattentive Variables,3,99,1,9,Motion,Medium
Preattentive Variables,3,100,1,10,Motion,High
Preattentive Variables,3,101,1,11,Motion,Low
Preattentive Variables,3,102,1,12,Motion,Medium
Preattentive Variables,3,103,1,13,Motion,Low
Preattentive Variables,3,104,1,14,Motion,High
Preattentive Variables,3,105,1,15,Motion,Medium
Preattentive Variables,3,106,2,1,Both,Low
Preattentive Variables,3,107,2,2,Both,High
Preattentive Variables,3,108,2,3,Both,Medium
Preattentive Variables,3,109,2,4,Both,High
Preattentive Variables,3,110,2,5,Both,Low
Preattentive Variables,3,111,2,6,Both,Medium
Preattentive Variables,3,112,2,7,Both,Low
Preattentive Variables,3,113,2,8,Both,High
Preattentive Variables,3,114,2,9,Both,Medium
Preattentive Variables,3,115,2,10,Both,High
Preattentive Variables,3,116,2,11,Both,Low
Preattentive Variables,3,117,2,12,Both,Medium
Preattentive Variables,3,118,2,13,Both,Low
Preattentive Variables,3,119,2,14,Both,High
Preattentive Variables,3,120,2,15,Both,Medium
Preattentive Variables,3,121,3,1,Shadow,Low
Preattentive Variables,3,122,3,2,Shadow,High
Preattentive Variables,3,123,3,3,Shadow,Medium
Preattentive Variables,3,124,3,4,Shadow,High
Preattentive Variables,3,125,3,5,Shadow,Low
Preattentive Variables,3,126,3,6,Shadow,Medium
Preattentive Variables,3,127,3,7,Shadow,Low
Preattentive Variables,3,128,3,8,Shadow,High
Preattentive Variables,3,129,3,9,Shadow,Medium
Preattentive Variables,3,130,3,10,Shadow,High
Preattentive Variables,3,131,3,11,Shadow,Low
Preattentive Variables,3,132,3,12,Shadow,Medium
Preattentive Variables,3,133,3,13,Shadow,Low
Preattentive Variables,3,134,3,14,Shadow,High
Preattentive Variables,3,135,3,15,Shadow,Medium
Preattentive Variables,4,136,1,1,Shadow,Medium
Preattentive Variables,4,137,1,2,Shadow,Low
Preattentive Variables,4,138,1,3,Shadow,High
Preattentive Variables,4,139,1,4,Shadow,Low
Preattentive Variables,4,140,1,5,Shadow,Medium
Preattentive Variables,4,141,1,6,Shadow,High
Preattentive Variables,4,142,1,7,Shadow,Medium
Preattentive Variables,4,143,1,8,Shadow,Low
Preattentive Variables,4,144,1,9,Shadow,High
Preattentive Variables,4,145,1,10,Shadow,Low
Preattentive Variables,4,146,1,11,Shadow,Medium
Preattentive Variables,4,147,1,12,Shadow,High
Preattentive Variables,4,148,1,13,Shadow,Medium
Preattentive Variables,4,149,1,14,Shadow,Low
Preattentive Variables,4,150,1,15,Shadow,High
Preattentive Variables,4,151,2,1,Motion,Medium
Preattentive Variables,4,152,2,2,Motion,Low
Preattentive Variables,4,153,2,3,Motion,High
Preattentive Variables,4,154,2,4,Motion,Low
Preattentive Variables,4,155,2,5,Motion,Medium
Preattentive Variables,4,156,2,6,Motion,High
Preattentive Variables,4,157,2,7,Motion,Medium
Preattentive Variables,4,158,2,8,Motion,Low
Preattentive Variables,4,159,2,9,Motion,High
Preattentive Variables,4,160,2,10,Motion,Low
Preattentive Variables,4,161,2,11,Motion,Medium
Preattentive Variables,4,162,2,12,Motion,High
Preattentive Variables,4,163,2,13,Motion,Medium
Preattentive Variables,4,164,2,14,Motion,Low
Preattentive Variables,4,165,2,15,Motion,High
Preattentive Variables,4,166,3,1,Both,Medium
Preattentive Variables,4,167,3,2,Both,Low
Preattentive Variables,4,168,3,3,Both,High
Preattentive Variables,4,169,3,4,Both,Low
Preattentive Variables,4,170,3,5,Both,Medium
Preattentive Variables,4,171,3,6,Both,High
Preattentive Variables,4,172,3,7,Both,Medium
Preattentive Variables,4,173,3,8,Both,Low
Preattentive Variables,4,174,3,9,Both,High
Preattentive Variables,4,175,3,10,Both,Low
Preattentive Variables,4,176,3,11,Both,Medium
Preattentive Variables,4,177,3,12,Both,High
Preattentive Variables,4,178,3,13,Both,Medium
Preattentive Variables,4,179,3,14,Both,Low
Preattentive Variables,4,180,3,15,Both,High
Preattentive Variables,5,181,1,1,Both,High
Preattentive Variables,5,182,1,2,Both,Medium
Preattentive Variables,5,183,1,3,Both,Low
Preattentive Variables,5,184,1,4,Both,Medium
Preattentive Variables,5,185,1,5,Both,High
Preattentive Variables,5,186,1,6,Both,Low
Preattentive Variables,5,187,1,7,Both,High
Preattentive Variables,5,188,1,8,Both,Medium
Preattentive Variables,5,189,1,9,Both,Low
Preattentive Variables,5,190,1,10,Both,Medium
Preattentive Variables,5,191,1,11,Both,High
Preattentive Variables,5,192,1,12,Both,Low
Preattentive Variables,5,193,1,13,Both,High
Preattentive Variables,5,194,1,14,Both,Medium
Preattentive Variables,5,195,1,15,Both,Low
Preattentive Variables,5,196,2,1,Shadow,High
Preattentive Variables,5,197,2,2,Shadow,Medium
Preattentive Variables,5,198,2,3,Shadow,Low
Preattentive Variables,5,199,2,4,Shadow,Medium
Preattentive Variables,5,200,2,5,Shadow,High
Preattentive Variables,5,201,2,6,Shadow,Low
Preattentive Variables,5,202,2,7,Shadow,High
Preattentive Variables,5,203,2,8,Shadow,Medium
Preattentive Variables,5,204,2,9,Shadow,Low
Preattentive Variables,5,205,2,10,Shadow,Medium
Preattentive Variables,5,206,2,11,Shadow,High
Preattentive Variables,5,207,2,12,Shadow,Low
Preattentive Variables,5,208,2,13,Shadow,High
Preattentive Variables,5,209,2,14,Shadow,Medium
Preattentive Variables,5,210,2,15,Shadow,Low
Preattentive Variables,5,211,3,1,Motion,High
Preattentive Variables,5,212,3,2,Motion,Medium
Preattentive Variables,5,213,3,3,Motion,Low
Preattentive Variables,5,214,3,4,Motion,Medium
Preattentive Variables,5,215,3,5,Motion,High
Preattentive Variables,5,216,3,6,Motion,Low
Preattentive Variables,5,217,3,7,Motion,High
Preattentive Variables,5,218,3,8,Motion,Medium
Preattentive Variables,5,219,3,9,Motion,Low
Preattentive Variables,5,220,3,10,Motion,Medium
Preattentive Variables,5,221,3,11,Motion,High
Preattentive Variables,5,222,3,12,Motion,Low
Preattentive Variables,5,223,3,13,Motion,High
Preattentive Variables,5,224,3,14,Motion,Medium
Preattentive Variables,5,225,3,15,Motion,Low
Preattentive Variables,6,226,1,1,Motion,Low
Preattentive Variables,6,227,1,2,Motion,High
Preattentive Variables,6,228,1,3,Motion,Medium
Preattentive Variables,6,229,1,4,Motion,High
Preattentive Variables,6,230,1,5,Motion,Low
Preattentive Variables,6,231,1,6,Motion,Medium
Preattentive Variables,6,232,1,7,Motion,Low
Preattentive Variables,6,233,1,8,Motion,High
Preattentive Variables,6,234,1,9,Motion,Medium
Preattentive Variables,6,235,1,10,Motion,High
Preattentive Variables,6,236,1,11,Motion,Low
Preattentive Variables,6,237,1,12,Motion,Medium
Preattentive Variables,6,238,1,13,Motion,Low
Preattentive Variables,6,239,1,14,Motion,High
Preattentive Variables,6,240,1,15,Motion,Medium
Preattentive Variables,6,241,2,1,Both,Low
Preattentive Variables,6,242,2,2,Both,High
Preattentive Variables,6,243,2,3,Both,Medium
Preattentive Variables,6,244,2,4,Both,High
Preattentive Variables,6,245,2,5,Both,Low
Preattentive Variables,6,246,2,6,Both,Medium
Preattentive Variables,6,247,2,7,Both,Low
Preattentive Variables,6,248,2,8,Both,High
Preattentive Variables,6,249,2,9,Both,Medium
Preattentive Variables,6,250,2,10,Both,High
Preattentive Variables,6,251,2,11,Both,Low
Preattentive Variables,6,252,2,12,Both,Medium
Preattentive Variables,6,253,2,13,Both,Low
Preattentive Variables,6,254,2,14,Both,High
Preattentive Variables,6,255,2,15,Both,Medium
Preattentive Variables,6,256,3,1,Shadow,Low
Preattentive Variables,6,257,3,2,Shadow,High
Preattentive Variables,6,258,3,3,Shadow,Medium
Preattentive Variables,6,259,3,4,Shadow,High
Preattentive Variables,6,260,3,5,Shadow,Low
Preattentive Variables,6,261,3,6,Shadow,Medium
Preattentive Variables,6,262,3,7,Shadow,Low
Preattentive Variables,6,263,3,8,Shadow,High
Preattentive Variables,6,264,3,9,Shadow,Medium
Preattentive Variables,6,265,3,10,Shadow,High
Preattentive Variables,6,266,3,11,Shadow,Low
Preattentive Variables,6,267,3,12,Shadow,Medium
Preattentive Variables,6,268,3,13,Shadow,Low
Preattentive Variables,6,269,3,14,Shadow,High
Preattentive Variables,6,270,3,15,Shadow,Medium
